location,Code,Year,stroke_deaths_per_100k
Oman,OMN,2019,103.681730786467
Pakistan,PAK,2019,114.855067576869
Palau,PLW,2019,116.133242367274
Palestine,PSE,2019,122.402381766199
Panama,PAN,2019,42.4270118107225
Papua New Guinea,PNG,2019,134.684612379649
Paraguay,PRY,2019,63.4989142533511
Peru,PER,2019,26.8265325642799
Philippines,PHL,2019,106.870887766696
Poland,POL,2019,60.9531143562894
Portugal,PRT,2019,55.9662766150466
Puerto Rico,PRI,2019,22.720010250417
Qatar,QAT,2019,52.9038569542774
Region of the Americas,,2019,40.3280282728124
Romania,ROU,2019,131.377356447399
Russia,RUS,2019,139.835001622406
Rwanda,RWA,2019,114.045856761038
Saint Kitts and Nevis,KNA,2019,126.812114671719
Saint Lucia,LCA,2019,85.2748818896732
Saint Vincent and the Grenadines,VCT,2019,87.8956483848472
Samoa,WSM,2019,134.724174052602
San Marino,SMR,2019,34.7710742818313
Sao Tome and Principe,STP,2019,118.787377345686
Saudi Arabia,SAU,2019,102.685290855317
Scotland,,2019,47.06023827275
Senegal,SEN,2019,95.1701314269995
Serbia,SRB,2019,174.662011058543
Seychelles,SYC,2019,70.8341946358374
Sierra Leone,SLE,2019,113.808736842106
Singapore,SGP,2019,22.1153737743062
Slovakia,SVK,2019,64.7514659570263
Slovenia,SVN,2019,39.8259526055469
Solomon Islands,SLB,2019,308.08356384217
Somalia,SOM,2019,145.938998184369
South Africa,ZAF,2019,80.6144048169633
South Asia,,2019,80.6818919253604
South Asia - Not WB,,2019,80.1884629487189
South Korea,KOR,2019,44.2582294390151
South Sudan,SSD,2019,96.2343834930979
South-East Asia Region,,2019,94.5403794219865
Southeast Asia,,2019,140.541615722499
"Southeast Asia, East Asia, and Oceania",,2019,129.396787721177
Southern Latin America,,2019,47.1092053136835
Southern sub-Saharan Africa,,2019,87.618611783075
Spain,ESP,2019,29.3016483630646
Sri Lanka,LKA,2019,69.1677966816379
Sub-Saharan Africa,,2019,107.341542559053
Sub-Saharan Africa - Not WB,,2019,106.722345752866
Sudan,SDN,2019,125.201093413921
Suriname,SUR,2019,101.804349750744
Sweden,SWE,2019,31.834217755053
Switzerland,CHE,2019,21.7678492343686
Syria,SYR,2019,98.9950100409338
Taiwan,TWN,2019,37.4285087750139
Tajikistan,TJK,2019,173.460853216778
Tanzania,TZA,2019,109.964644908557
Thailand,THA,2019,52.1425341204576
Timor,TLS,2019,166.70573681612
Togo,TGO,2019,109.94180043082
Tokelau,TKL,2019,114.481281574164
Tonga,TON,2019,75.5931209639479
Trinidad and Tobago,TTO,2019,67.9200515224975
Tropical Latin America,,2019,58.2489104442484
Tunisia,TUN,2019,79.95204413566
Turkey,TUR,2019,60.5966534722681
Turkmenistan,TKM,2019,151.270935855735
Tuvalu,TUV,2019,155.350588969048
Uganda,UGA,2019,104.6463955557
Ukraine,UKR,2019,122.800410137209
United Arab Emirates,ARE,2019,91.2633283961762
United Kingdom,GBR,2019,34.4827796610739
United States,USA,2019,30.7557896911212
United States Virgin Islands,VIR,2019,56.6461886806558
Uruguay,URY,2019,56.2594371298071
Uzbekistan,UZB,2019,189.015490578855
Vanuatu,VUT,2019,192.779202542136
Venezuela,VEN,2019,57.0487249915943
Vietnam,VNM,2019,170.279433529555
WHO region,,2019,84.3576497001758
Wales,,2019,36.4204348262338
Western Europe,,2019,32.4616545174063
Western Pacific Region,,2019,104.277799640953
Western sub-Saharan Africa,,2019,101.579523537317
World,OWID_WRL,2019,84.1897903718569
World Bank High Income,,2019,34.1843996434411
World Bank Income Levels,,2019,84.1897618077616
World Bank Low Income,,2019,122.784499583283
World Bank Lower Middle Income,,2019,103.593933779249
World Bank Regions,,2019,84.1302349999837
World Bank Upper Middle Income,,2019,106.847928987719
Yemen,YEM,2019,135.744362645699
Zambia,ZMB,2019,162.071834013822
Zimbabwe,ZWE,2019,98.9986829317946
