location,Code,Year,dementia_death_rate_per_100k
Oman,OMN,2017,46.1852416281562
Pakistan,PAK,2017,41.3270950654594
Palestine,PSE,2017,43.2584960524477
Panama,PAN,2017,29.7168782045442
Papua New Guinea,PNG,2017,37.5362253023947
Paraguay,PRY,2017,33.5306238281348
Peru,PER,2017,30.1132157473543
Philippines,PHL,2017,42.1698429016334
Poland,POL,2017,36.6217385534231
Portugal,PRT,2017,33.9417587217426
Puerto Rico,PRI,2017,32.782607543968
Qatar,QAT,2017,44.8283900377241
Romania,ROU,2017,36.9663313480309
Russia,RUS,2017,36.8678791984441
Rwanda,RWA,2017,41.0742784485848
Saint Lucia,LCA,2017,38.0228185675016
Saint Vincent and the Grenadines,VCT,2017,24.7560968283092
Samoa,WSM,2017,53.8032523639253
Sao Tome and Principe,STP,2017,37.1984577755222
Saudi Arabia,SAU,2017,49.5367193948113
Scotland,,2017,42.022291790346
Senegal,SEN,2017,45.0719533942247
Serbia,SRB,2017,47.2555061103285
Seychelles,SYC,2017,39.0581479617188
Sierra Leone,SLE,2017,40.8688236623642
Singapore,SGP,2017,24.6830575765084
Slovakia,SVK,2017,35.7994382901476
Slovenia,SVN,2017,29.9566678869494
Solomon Islands,SLB,2017,41.7374727016777
Somalia,SOM,2017,46.7984757114578
South Africa,ZAF,2017,36.2949442461808
South Asia,,2017,30.6237410823296
South Korea,KOR,2017,42.9912821329951
South Sudan,SSD,2017,40.734770214854
Southeast Asia,,2017,39.2836399489933
"Southeast Asia, East Asia, and Oceania",,2017,35.2027272186703
Southern Latin America,,2017,33.0670059279185
Southern Sub-Saharan Africa,,2017,37.2327253492694
Spain,ESP,2017,36.2288651299578
Sri Lanka,LKA,2017,34.5363210225778
Sub-Saharan Africa,,2017,40.2161503909854
Sudan,SDN,2017,36.0807486194448
Suriname,SUR,2017,36.0845803553996
Sweden,SWE,2017,34.1239315357279
Switzerland,CHE,2017,33.396621404938
Syria,SYR,2017,38.04696359053
Taiwan,TWN,2017,31.5150153872751
Tajikistan,TJK,2017,38.2454455949613
Tanzania,TZA,2017,38.756360103437
Thailand,THA,2017,35.0062789790541
Timor,TLS,2017,40.6333917119203
Togo,TGO,2017,40.418476750012
Tonga,TON,2017,48.7067554986795
Trinidad and Tobago,TTO,2017,29.4013800765817
Tropical Latin America,,2017,35.4606739384655
Tunisia,TUN,2017,40.6050954816591
Turkey,TUR,2017,29.0647924840808
Turkmenistan,TKM,2017,47.2208789743817
Uganda,UGA,2017,35.796431100171
Ukraine,UKR,2017,44.5246149448655
United Arab Emirates,ARE,2017,42.7310749903557
United Kingdom,GBR,2017,38.7497001092496
United States,USA,2017,38.4539608064137
United States Virgin Islands,VIR,2017,35.1988690976776
Uruguay,URY,2017,33.2189848081096
Uzbekistan,UZB,2017,42.0880113200012
Vanuatu,VUT,2017,57.1283587255689
Venezuela,VEN,2017,29.2610716927438
Vietnam,VNM,2017,38.3711481800474
Wales,,2017,37.4063204617951
Western Europe,,2017,35.068865281599
Western Sub-Saharan Africa,,2017,41.7174528638073
World,OWID_WRL,2017,35.3912524759422
Yemen,YEM,2017,37.5460783530848
Zambia,ZMB,2017,43.4734498055059
Zimbabwe,ZWE,2017,42.3138419498219
